latitude,longitude,altitude_ft,speed_kts,rcs_m2,electronic_signature,flight_profile,weather,thermal_signature,classification
50.37760069637665,7.126176057032401,38618.20273223439,424.6632808362009,89.24028327660773,IFF_MODE_3C,STABLE_CRUISE,Cloudy,Not_Detected,CIVILIAN
46.221182533978926,23.951757053423368,37447.48238756423,452.05636124214914,83.19299832326648,IFF_MODE_3C,STABLE_CRUISE,Cloudy,Not_Detected,CIVILIAN
44.258724311929996,8.93698705468839,32442.77483587199,412.66738139882733,57.62046522235253,IFF_MODE_3C,STABLE_CRUISE,Clear,Medium,CIVILIAN
43.273535873387466,4.183658845016046,41475.67915334478,491.99238151137143,63.0767191002581,IFF_MODE_3C,STABLE_CRUISE,Clear,Medium,CIVILIAN
46.40010584075651,6.089102826321851,1393.569599261622,1490.6274551751064,16.702397750704836,IFF_MODE_5,STABLE_CRUISE,Rainy,Not_Detected,FRIEND
50.077148598063076,26.3804608438747,41262.924747454235,532.6892220841191,55.20376834285176,IFF_MODE_3C,STABLE_CRUISE,Clear,Medium,CIVILIAN
57.525880886704684,24.359965224239513,12838.6940812976,1456.139885263851,15.884694765829805,IFF_MODE_5,STABLE_CRUISE,Clear,Medium,FRIEND
42.939109581662706,2.152152336203361,37639.21056318881,439.647785979103,75.42213090695623,IFF_MODE_3C,STABLE_CRUISE,Clear,Medium,CIVILIAN
55.48517995030121,22.547461403182133,52385.22154598344,1241.0534413148312,15.462095554170165,NO_IFF_RESPONSE,STABLE_CRUISE,Clear,Low,SUSPECT
46.56425394045189,39.15471723276068,42786.70444798386,1125.911020384456,0.25969248101970216,NO_IFF_RESPONSE,AGGRESSIVE_MANEUVERS,Clear,High,HOSTILE
45.01015735763097,10.612940575809672,32819.96003648798,492.10029523622205,65.43352350150991,IFF_MODE_3C,STABLE_CRUISE,Clear,Medium,CIVILIAN
55.71842338126996,18.493714844711274,25387.820933821393,649.8153552178027,16.408364373640968,IFF_MODE_5,STABLE_CRUISE,Clear,Low,FRIEND
46.29944622968113,36.627256598213904,49834.659328352325,846.6337855579068,1.5818487799499443,HOSTILE_JAMMING,AGGRESSIVE_MANEUVERS,Clear,High,HOSTILE
49.708929989439305,13.771429360192673,13715.500373748579,1286.8852281250763,29.867948517031916,NO_IFF_RESPONSE,STABLE_CRUISE,Clear,Low,SUSPECT
50.829645822284775,14.85402548190857,38058.32233902328,541.3026969094999,40.86548355386019,IFF_MODE_3C,STABLE_CRUISE,Rainy,Not_Detected,CIVILIAN
49.7852146928776,9.96920389208275,8385.303991936495,1476.3356800330469,21.16764206712156,NO_IFF_RESPONSE,STABLE_CRUISE,Clear,Medium,SUSPECT
44.90378835484468,18.796746175661706,39320.58228551571,481.3351165227054,36.13491551443274,IFF_MODE_3C,STABLE_CRUISE,Clear,Medium,CIVILIAN
48.0398756384666,22.15203433119435,37958.401584065534,542.8549131259157,55.249930079626466,IFF_MODE_3C,STABLE_CRUISE,Clear,Medium,CIVILIAN
43.19380485915417,14.4308225218026,36151.79588734515,476.5357048800957,48.421895485705605,IFF_MODE_3C,STABLE_CRUISE,Clear,Medium,CIVILIAN
45.828306522666495,33.647329922150625,43435.365615261304,1197.9654881314534,2.2688005387615195,NO_IFF_RESPONSE,AGGRESSIVE_MANEUVERS,Cloudy,Not_Detected,HOSTILE
45.85730873998995,0.6694335611214375,36804.0038125185,537.8739038234653,47.32120883031676,IFF_MODE_3C,STABLE_CRUISE,Clear,Medium,CIVILIAN
50.12314051127019,9.79469483203736,51146.27495833198,370.0178098737684,6.349113642982366,NO_IFF_RESPONSE,STABLE_CRUISE,Cloudy,Not_Detected,SUSPECT
45.3795710533553,35.53353429306472,32378.442555253307,1034.1060969254718,3.4309034344804155,HOSTILE_JAMMING,AGGRESSIVE_MANEUVERS,Clear,High,HOSTILE
45.946112893493414,37.47083259606659,35794.97991434067,1061.6709671824797,2.626270426159768,HOSTILE_JAMMING,AGGRESSIVE_MANEUVERS,Clear,High,HOSTILE
46.33873373089244,25.521446297791382,36853.08983664325,478.4685519001087,80.8699711761942,IFF_MODE_3C,STABLE_CRUISE,Clear,Medium,CIVILIAN
55.515726654900206,24.150295481566264,50724.43859176466,876.6988146094276,13.327216753118295,NO_IFF_RESPONSE,STABLE_CRUISE,Clear,Low,SUSPECT
